subject,my_mac,data_type,data_value,local_time
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683056462
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683056524
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683056584
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683056644
MATT,6C:B2:FD:CE:2D:F0,deg_c,24.50,1683056818
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.83,1683056818
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683056779
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683056867
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683056938
MATT,6C:B2:FD:CE:2D:F0,deg_c,25.50,1683057118
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.84,1683057118
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683057104
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683057169
MATT,6C:B2:FD:CE:2D:F0,deg_c,25.50,1683057418
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.83,1683057418
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683057495
MATT,6C:B2:FD:CE:2D:F0,deg_c,25.75,1683057718
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.84,1683057718
MATT,6C:B2:FD:CE:2D:F0,deg_c,25.25,1683058018
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.84,1683058018
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683058178
MATT,6C:B2:FD:CE:2D:F0,deg_c,25.25,1683058318
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.83,1683058318
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683058261
MATT,6C:B2:FD:CE:2D:F0,deg_c,25.00,1683058618
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.84,1683058618
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683058628
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683058688
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683058793
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683058853
